Name,Address,Phone Number,Description,Category
,"25 Apaola Street, Ketu Kosofe, Lagos","08023803682,08037199329",P And P Life Auto Limited is an auto dealership selling new cars and fairly used Japanese cars.,automotive
,"5 Fadare Street, Mile12 Kosofe, Lagos","08025873473,08167670815",Bunmi Auto Mechanic is a car repair workshop offering car repair services.,automotive
,"Colin Onabule Street, Ifako Bus Stop, Kosofe, Lagos","08029498260,08103607915",Code Red Auto Shop is an auto repairer that offers a wide range of services to meet your vehicleâ€™s needs.,automotive
,"1A Ade Ajayi Street, Kosofe, Lagos","08029091965,07035039114","Metrix Exotic Auto Dealership Limited is located in Kosofe, Lagos.",automotive
,"16A Agboyi Road, Kosofe, Lagos",07035879696,Ochegbe Motors offers pre-owned cars and trucks in Kosofe and it's surrounding areas. We have a wide variety of vehicles to choose from in order to match your needs.,automotive
,"13 Olakunle Ajibade Street, Ojota Kosofe, Lagos","08062898453,08082721085",Wale Moshood Auto Mechanic render car repair services.,automotive
,"17 Moshalashi Street, Gbagada Estate Phase 1, Kosofe, Lagos","08065829652,08084630584","GF Barber Shop is a barbing salon located in Gbagada, Kosofe.",barbing salons
,"1 Kazeem Street, Alapere, Ketu Kosofe, Lagos","08066508740,07070022353",Marvelous Barbing Salon provide clean and excellent hair cut services.,barbing salons
,"13 Ogunnoiki Street, Oworonshoki Kosofe, Lagos",08020834478,"Orry Barbing Salon provides exclusive hair cut services like shaving, hair styling.",barbing salons
,"1 Rosenje Street, Gbagada Kosofe, Lagos","08029249721,08032353749",Show Biz Barbing Salon is a fully equipped barbing offering hair cut services for kids and adults.,barbing salons
,"1 Idera Street, Oworo Kosofe, Lagos",08036355057,"Adijat Beauty Salon is a beauty center for your hair braiding, cosmetic products, manicure and pedicure services.",beauty salons
,"14 Obazur Street, Gbagada Kosofe, Lagos","08029193673,08165718614",,beauty salons
,"56 Ogudu Road, Kosofe, Lagos",08126310572,"Folaoyeleke is a makeup artists, who offers a wide range of cosmetic services such as airbrush, body, hair and make up artistry.",beauty salons
,"Adediran Ajao Crescent, Kosofe, Lagos",08035848512,Glory Beauty Salon offers a variety of services for your beauty and wellness needs. Our skilled professionals are committed to providing high-quality service in a clean and comfortable environment.,beauty salons
,"15 Adepitan Street, Alapere Ketu Kosofe, Lagos",08032011846,"Honeyz Hair Palace is a beauty salon offering Human Hair Extension, Brazilian Hair, and braiding.",beauty salons
,"34B Diya Street, Ifako Gbagada Kosofe, Lagos","08056532229,08028996353",Marybam Beauty Salon is a hair dressing salon.,beauty salons
,"No 1 Issac Okomor Street, Kosofe, Lagos",09072660662,Signatures by Elizabeth is a salon in Kosofe. We provide a variety of services from hair to makeup.,beauty salons
,"10 Olabode Aluko Street, Oworonshoki Kosofe, Lagos","08163863683,08023918056",Ultimate Beauty Salon specialize on hair braiding and weaving services.,beauty salons
,,,,beauty salons
,"6 Kola Iya Omolere Street, Ogudu Ori Oke, Kosofe, Lagos, Nigeria",09060003891,Texcare Drycleaners provide an eco-friendly and affordable cleaning service that is tailored to your needs. Our methods allow us to clean even the toughest stains and return your clothing to its original state.,cleaning services
,"5, Oworo Road, Opposite The King's Heritage School, Oworonshoki, Kosofe, Lagos","08162793322,08050879899",Ay Klean Cleaning Services provides affordable laundry service and dry cleaning as your full-time or part-time assistant.,cleaning services
,"17 Oworo Road, Oworonshoki Kosofe, Lagos","08133009916,07019816469","Bluemoon Nigeria Limited is a professional cleaning service provider located in Oworonshoki, Kosofe.",cleaning services
,"38 Yetunde Brown, Ifako Gbagada Kosofe, Lagos",08060543223,Gentle Breeze Cleaning Services is a dry cleaners outlet offering laundry services.,cleaning services
,"3 Adewale Babalola Street, Ojodu Berger Kosofe, Lagos",08037815529,Goldenlook Cleaning Services offer household and office cleaning and fumigation services.,cleaning services
,"7 Ojileru street, Oworonshoki Kosofe, Lagos","08029433335,08056347673",Rhema Drycleaning And Laundry Services offer household and office laundry services.,cleaning services
,"3 Femi Aderibigbe Close, Kosofe, Lagos",07066618933,Sparkleanbase Solutions is a professional cleaning company in Kosofe. We provide cleaning services and housekeeping services at the best possible rates.,cleaning services
,"Agboyi Ketu, Kosofe, Lagos","08035329652,08034084542","Western Cleaning Services provide cleaning services to homes, offices and hotels.",cleaning services
,"350-360 Ikorodu-Ososun Road, Kosofe, Lagos","08177568581,07082865712",Anzolo Hope is a software development company that focuses on designing and developing software for mobile devices.,computer services
